group_index,group_id,size,first_index,minimum_length,maximum_length,negative_n,positive_n
104,SW60C80_00104,1,105,4,4,1,0
105,SW60C80_00105,3,106,5,6,0,3
106,SW60C80_00106,1,107,26,26,0,1
107,SW60C80_00107,1,108,10,10,1,0
108,SW60C80_00108,1,109,11,11,1,0
109,SW60C80_00109,1,110,13,13,1,0
110,SW60C80_00110,1,111,3,3,1,0
111,SW60C80_00111,10,112,3,3,1,9
112,SW60C80_00112,1,113,3,3,0,1
113,SW60C80_00113,4,114,4,6,0,4
114,SW60C80_00114,1,115,10,10,0,1
115,SW60C80_00115,1,116,13,13,0,1
116,SW60C80_00116,1,117,11,11,1,0
117,SW60C80_00117,1,118,8,8,1,0
118,SW60C80_00118,2,119,4,5,0,2
119,SW60C80_00119,1,120,14,14,0,1
120,SW60C80_00120,1,121,10,10,0,1
121,SW60C80_00121,1,123,16,16,1,0
122,SW60C80_00122,1,124,10,10,0,1
123,SW60C80_00123,1,125,12,12,1,0
124,SW60C80_00124,5,126,3,3,5,0
125,SW60C80_00125,2,127,5,5,2,0
126,SW60C80_00126,3,128,4,5,3,0
127,SW60C80_00127,1,129,3,3,1,0
128,SW60C80_00128,1,130,8,8,1,0
129,SW60C80_00129,1,131,13,13,0,1
130,SW60C80_00130,1,132,6,6,1,0
131,SW60C80_00131,1,133,10,10,1,0
132,SW60C80_00132,1,134,5,5,1,0
133,SW60C80_00133,2,135,7,7,0,2
134,SW60C80_00134,1,136,7,7,1,0
135,SW60C80_00135,1,137,6,6,0,1
136,SW60C80_00136,1,138,6,6,0,1
137,SW60C80_00137,1,139,11,11,1,0
138,SW60C80_00138,1,140,1,1,0,1
139,SW60C80_00139,1,141,8,8,1,0
140,SW60C80_00140,1,142,8,8,1,0
141,SW60C80_00141,1,143,17,17,1,0
142,SW60C80_00142,1,144,6,6,1,0
143,SW60C80_00143,2,145,3,3,0,2
144,SW60C80_00144,1,146,8,8,0,1
145,SW60C80_00145,1,147,2,2,1,0
146,SW60C80_00146,1,148,23,23,0,1
147,SW60C80_00147,3,149,4,5,0,3
148,SW60C80_00148,1,150,14,14,1,0
149,SW60C80_00149,1,151,11,11,1,0
150,SW60C80_00150,2,152,3,3,2,0
151,SW60C80_00151,1,153,8,8,1,0
152,SW60C80_00152,1,154,3,3,0,1
153,SW60C80_00153,1,155,4,4,0,1
154,SW60C80_00154,2,156,3,3,2,0
155,SW60C80_00155,2,157,3,3,1,1
156,SW60C80_00156,1,158,3,3,0,1
157,SW60C80_00157,1,159,8,8,0,1
158,SW60C80_00158,1,160,6,6,0,1
159,SW60C80_00159,1,161,12,12,0,1
160,SW60C80_00160,5,162,3,3,0,5
161,SW60C80_00161,1,163,13,13,0,1
162,SW60C80_00162,1,164,14,14,1,0
163,SW60C80_00163,2,166,6,6,2,0
164,SW60C80_00164,1,167,2,2,0,1
165,SW60C80_00165,1,168,9,9,1,0
166,SW60C80_00166,1,169,31,31,0,1
167,SW60C80_00167,2,170,3,3,2,0
168,SW60C80_00168,1,171,3,3,0,1
169,SW60C80_00169,1,172,12,12,1,0
170,SW60C80_00170,1,173,7,7,1,0
171,SW60C80_00171,1,174,8,8,1,0
172,SW60C80_00172,1,175,12,12,1,0
173,SW60C80_00173,1,176,5,5,0,1
174,SW60C80_00174,1,177,4,4,0,1
175,SW60C80_00175,2,178,3,3,0,2
176,SW60C80_00176,1,179,16,16,1,0
177,SW60C80_00177,1,180,5,5,0,1
178,SW60C80_00178,1,181,5,5,1,0
179,SW60C80_00179,1,182,17,17,1,0
180,SW60C80_00180,1,183,5,5,1,0
181,SW60C80_00181,1,184,3,3,0,1
182,SW60C80_00182,1,185,16,16,0,1
183,SW60C80_00183,1,186,15,15,0,1
184,SW60C80_00184,1,187,4,4,1,0
185,SW60C80_00185,1,188,10,10,0,1
186,SW60C80_00186,1,189,9,9,0,1
187,SW60C80_00187,1,190,13,13,1,0
188,SW60C80_00188,1,191,10,10,0,1
189,SW60C80_00189,1,192,6,6,0,1
190,SW60C80_00190,2,193,12,14,0,2
191,SW60C80_00191,1,194,10,10,1,0
192,SW60C80_00192,1,195,11,11,0,1
193,SW60C80_00193,1,196,13,13,0,1
194,SW60C80_00194,2,198,6,6,0,2
195,SW60C80_00195,1,199,9,9,1,0
196,SW60C80_00196,2,200,31,31,0,2
197,SW60C80_00197,4,201,4,7,0,4
198,SW60C80_00198,2,203,3,3,1,1
199,SW60C80_00199,1,206,5,5,1,0
200,SW60C80_00200,1,207,4,4,0,1
201,SW60C80_00201,1,208,6,6,1,0
202,SW60C80_00202,1,209,15,15,0,1
203,SW60C80_00203,1,210,11,11,0,1
204,SW60C80_00204,1,211,9,9,1,0
205,SW60C80_00205,1,212,11,11,1,0
206,SW60C80_00206,2,213,5,6,0,2
207,SW60C80_00207,1,214,12,12,0,1
208,SW60C80_00208,1,215,12,12,0,1
209,SW60C80_00209,1,216,3,3,0,1
210,SW60C80_00210,1,217,14,14,1,0
211,SW60C80_00211,1,218,20,20,1,0
212,SW60C80_00212,4,219,3,3,3,1
213,SW60C80_00213,1,220,3,3,0,1
214,SW60C80_00214,1,221,2,2,1,0
215,SW60C80_00215,1,222,14,14,1,0
216,SW60C80_00216,2,224,3,3,2,0
217,SW60C80_00217,3,225,4,5,0,3
218,SW60C80_00218,1,226,12,12,0,1
219,SW60C80_00219,1,227,5,5,1,0
220,SW60C80_00220,1,228,6,6,1,0
221,SW60C80_00221,1,229,6,6,1,0
222,SW60C80_00222,1,230,11,11,1,0
223,SW60C80_00223,1,231,9,9,0,1
224,SW60C80_00224,1,232,9,9,0,1
225,SW60C80_00225,1,234,9,9,0,1
226,SW60C80_00226,2,235,3,3,1,1
227,SW60C80_00227,1,236,15,15,0,1
228,SW60C80_00228,2,237,3,3,2,0
229,SW60C80_00229,1,238,12,12,0,1
230,SW60C80_00230,1,239,10,10,0,1
231,SW60C80_00231,1,240,15,15,0,1
232,SW60C80_00232,1,241,10,10,1,0
233,SW60C80_00233,4,243,9,10,0,4
234,SW60C80_00234,1,244,4,4,0,1
235,SW60C80_00235,1,245,27,27,0,1
236,SW60C80_00236,1,246,12,12,0,1
237,SW60C80_00237,1,247,7,7,0,1
238,SW60C80_00238,1,248,20,20,1,0
239,SW60C80_00239,1,249,12,12,0,1
240,SW60C80_00240,1,251,4,4,1,0
241,SW60C80_00241,1,252,5,5,1,0
242,SW60C80_00242,3,253,3,3,0,3
243,SW60C80_00243,1,254,6,6,0,1
244,SW60C80_00244,1,255,7,7,1,0
245,SW60C80_00245,1,256,13,13,1,0
246,SW60C80_00246,1,257,3,3,1,0
247,SW60C80_00247,1,258,7,7,0,1
248,SW60C80_00248,1,259,8,8,1,0
249,SW60C80_00249,1,261,6,6,1,0
250,SW60C80_00250,1,262,8,8,0,1
251,SW60C80_00251,1,263,12,12,1,0
252,SW60C80_00252,1,264,4,4,0,1
253,SW60C80_00253,2,265,3,3,0,2
254,SW60C80_00254,1,266,11,11,1,0
255,SW60C80_00255,1,267,19,19,0,1
256,SW60C80_00256,1,268,7,7,1,0
257,SW60C80_00257,1,269,5,5,1,0
258,SW60C80_00258,1,270,16,16,1,0
259,SW60C80_00259,1,271,4,4,0,1
260,SW60C80_00260,1,272,7,7,1,0
261,SW60C80_00261,1,273,11,11,0,1
262,SW60C80_00262,2,274,11,11,2,0
263,SW60C80_00263,1,275,2,2,1,0
264,SW60C80_00264,1,276,3,3,0,1
265,SW60C80_00265,2,278,11,11,0,2
266,SW60C80_00266,1,279,2,2,0,1
267,SW60C80_00267,1,280,4,4,1,0
268,SW60C80_00268,1,281,5,5,0,1
269,SW60C80_00269,1,282,4,4,0,1
270,SW60C80_00270,1,283,6,6,0,1
271,SW60C80_00271,1,284,18,18,1,0
272,SW60C80_00272,1,286,15,15,0,1
273,SW60C80_00273,1,287,13,13,0,1
274,SW60C80_00274,1,288,16,16,0,1
275,SW60C80_00275,2,289,6,6,2,0
276,SW60C80_00276,1,290,4,4,0,1
277,SW60C80_00277,1,291,3,3,1,0
278,SW60C80_00278,4,292,3,3,4,0
279,SW60C80_00279,1,293,13,13,1,0
280,SW60C80_00280,1,295,4,4,1,0
281,SW60C80_00281,1,297,4,4,0,1
282,SW60C80_00282,1,298,12,12,0,1
283,SW60C80_00283,1,300,4,4,1,0
284,SW60C80_00284,5,301,3,5,5,0
285,SW60C80_00285,1,302,12,12,1,0
286,SW60C80_00286,1,303,23,23,0,1
287,SW60C80_00287,1,304,9,9,1,0
288,SW60C80_00288,1,305,14,14,1,0
289,SW60C80_00289,1,307,4,4,1,0
290,SW60C80_00290,1,308,8,8,0,1
291,SW60C80_00291,1,309,6,6,1,0
292,SW60C80_00292,2,310,6,6,1,1
293,SW60C80_00293,1,311,11,11,0,1
294,SW60C80_00294,1,312,15,15,0,1
295,SW60C80_00295,1,313,2,2,1,0
296,SW60C80_00296,1,314,8,8,0,1
297,SW60C80_00297,1,315,11,11,0,1
298,SW60C80_00298,1,316,6,6,0,1
299,SW60C80_00299,1,317,9,9,1,0
300,SW60C80_00300,1,318,4,4,0,1
301,SW60C80_00301,1,319,9,9,0,1
302,SW60C80_00302,1,320,11,11,1,0
303,SW60C80_00303,1,321,15,15,0,1
304,SW60C80_00304,1,322,4,4,1,0
305,SW60C80_00305,1,323,7,7,1,0
306,SW60C80_00306,1,324,2,2,0,1
307,SW60C80_00307,1,325,7,7,1,0
308,SW60C80_00308,1,326,17,17,1,0
309,SW60C80_00309,1,328,12,12,0,1
310,SW60C80_00310,1,329,4,4,1,0
311,SW60C80_00311,1,331,7,7,1,0
312,SW60C80_00312,1,332,14,14,0,1
313,SW60C80_00313,1,333,4,4,1,0
314,SW60C80_00314,1,334,15,15,0,1
315,SW60C80_00315,1,335,18,18,0,1
316,SW60C80_00316,2,336,7,8,0,2
317,SW60C80_00317,2,337,4,5,2,0
318,SW60C80_00318,1,338,9,9,0,1
319,SW60C80_00319,1,339,7,7,1,0
320,SW60C80_00320,1,340,11,11,0,1
321,SW60C80_00321,1,341,5,5,0,1
322,SW60C80_00322,1,342,6,6,1,0
323,SW60C80_00323,1,343,5,5,1,0
324,SW60C80_00324,1,344,13,13,0,1
325,SW60C80_00325,1,345,7,7,0,1
326,SW60C80_00326,1,348,16,16,1,0
327,SW60C80_00327,1,349,3,3,0,1
328,SW60C80_00328,1,350,9,9,1,0
329,SW60C80_00329,1,351,16,16,0,1
330,SW60C80_00330,1,352,5,5,1,0
331,SW60C80_00331,1,354,4,4,0,1
332,SW60C80_00332,1,355,3,3,0,1
333,SW60C80_00333,3,356,3,3,1,2
334,SW60C80_00334,2,357,20,20,0,2
335,SW60C80_00335,1,358,6,6,1,0
336,SW60C80_00336,1,359,13,13,1,0
337,SW60C80_00337,1,360,2,2,1,0
338,SW60C80_00338,1,361,13,13,1,0
339,SW60C80_00339,1,362,13,13,0,1
340,SW60C80_00340,1,363,13,13,1,0
341,SW60C80_00341,1,364,4,4,0,1
342,SW60C80_00342,1,365,9,9,1,0
343,SW60C80_00343,1,366,4,4,0,1
344,SW60C80_00344,1,367,7,7,1,0
345,SW60C80_00345,1,368,12,12,1,0
346,SW60C80_00346,1,369,12,12,0,1
347,SW60C80_00347,1,370,12,12,1,0
348,SW60C80_00348,2,371,3,3,2,0
349,SW60C80_00349,1,372,4,4,1,0
350,SW60C80_00350,1,373,17,17,1,0
351,SW60C80_00351,1,374,8,8,1,0
352,SW60C80_00352,1,375,3,3,0,1
353,SW60C80_00353,1,376,19,19,1,0
354,SW60C80_00354,1,377,8,8,0,1
355,SW60C80_00355,1,378,3,3,0,1
356,SW60C80_00356,1,379,4,4,0,1
357,SW60C80_00357,1,380,10,10,0,1
358,SW60C80_00358,1,381,3,3,0,1
359,SW60C80_00359,1,383,7,7,1,0
360,SW60C80_00360,1,384,8,8,1,0
361,SW60C80_00361,1,385,49,49,0,1
362,SW60C80_00362,1,386,7,7,0,1
363,SW60C80_00363,1,387,12,12,0,1
364,SW60C80_00364,1,388,14,14,1,0
365,SW60C80_00365,2,389,4,5,0,2
366,SW60C80_00366,2,390,3,3,0,2
367,SW60C80_00367,1,391,2,2,0,1
368,SW60C80_00368,1,392,4,4,1,0
369,SW60C80_00369,1,393,13,13,0,1
370,SW60C80_00370,1,394,7,7,0,1
371,SW60C80_00371,1,395,3,3,0,1
372,SW60C80_00372,1,396,2,2,0,1
373,SW60C80_00373,1,397,4,4,1,0
374,SW60C80_00374,1,399,4,4,1,0
375,SW60C80_00375,1,400,4,4,1,0
376,SW60C80_00376,2,401,4,5,1,1
377,SW60C80_00377,2,402,4,4,2,0
378,SW60C80_00378,2,405,7,7,0,2
379,SW60C80_00379,1,406,7,7,0,1
380,SW60C80_00380,1,407,3,3,0,1
381,SW60C80_00381,2,408,3,3,2,0
382,SW60C80_00382,1,409,4,4,0,1
383,SW60C80_00383,1,410,8,8,1,0
384,SW60C80_00384,1,411,34,34,0,1
385,SW60C80_00385,1,412,7,7,1,0
386,SW60C80_00386,1,413,11,11,0,1
387,SW60C80_00387,1,414,10,10,1,0
388,SW60C80_00388,6,415,3,3,5,1
389,SW60C80_00389,1,416,12,12,1,0
390,SW60C80_00390,1,417,6,6,1,0
391,SW60C80_00391,1,418,6,6,1,0
392,SW60C80_00392,1,419,28,28,0,1
393,SW60C80_00393,1,420,7,7,1,0
394,SW60C80_00394,1,421,10,10,1,0
395,SW60C80_00395,1,422,11,11,0,1
396,SW60C80_00396,1,423,3,3,0,1
397,SW60C80_00397,1,424,13,13,1,0
398,SW60C80_00398,1,425,10,10,0,1
399,SW60C80_00399,1,426,10,10,1,0
400,SW60C80_00400,1,427,14,14,1,0
401,SW60C80_00401,1,428,13,13,1,0
402,SW60C80_00402,2,429,3,3,0,2
403,SW60C80_00403,1,431,4,4,0,1
404,SW60C80_00404,1,432,14,14,0,1
405,SW60C80_00405,1,433,8,8,0,1
406,SW60C80_00406,1,434,7,7,1,0
407,SW60C80_00407,1,435,5,5,0,1
408,SW60C80_00408,1,436,16,16,0,1
409,SW60C80_00409,1,438,4,4,0,1
410,SW60C80_00410,1,439,11,11,1,0
411,SW60C80_00411,1,441,6,6,1,0
412,SW60C80_00412,2,442,5,5,0,2
413,SW60C80_00413,1,443,8,8,0,1
414,SW60C80_00414,1,444,18,18,0,1
415,SW60C80_00415,1,445,15,15,1,0
416,SW60C80_00416,1,446,12,12,0,1
417,SW60C80_00417,1,447,6,6,1,0
418,SW60C80_00418,1,448,4,4,1,0
419,SW60C80_00419,1,449,7,7,1,0
420,SW60C80_00420,2,450,3,3,2,0
421,SW60C80_00421,3,451,3,3,3,0
422,SW60C80_00422,1,452,8,8,1,0
423,SW60C80_00423,1,453,12,12,0,1
424,SW60C80_00424,1,454,12,12,0,1
425,SW60C80_00425,2,455,3,3,2,0
426,SW60C80_00426,2,456,5,5,0,2
427,SW60C80_00427,2,457,6,6,2,0
428,SW60C80_00428,1,458,17,17,1,0
429,SW60C80_00429,1,462,14,14,1,0
430,SW60C80_00430,1,463,4,4,1,0
431,SW60C80_00431,1,464,13,13,1,0
432,SW60C80_00432,2,465,4,5,2,0
433,SW60C80_00433,1,466,9,9,0,1
434,SW60C80_00434,1,467,10,10,0,1
435,SW60C80_00435,1,468,10,10,1,0
436,SW60C80_00436,1,471,9,9,1,0
437,SW60C80_00437,1,472,4,4,1,0
438,SW60C80_00438,1,473,11,11,1,0
439,SW60C80_00439,1,474,5,5,1,0
440,SW60C80_00440,1,477,12,12,1,0
441,SW60C80_00441,1,478,17,17,1,0
442,SW60C80_00442,1,480,4,4,0,1
443,SW60C80_00443,9,481,3,5,7,2
444,SW60C80_00444,1,482,13,13,1,0
445,SW60C80_00445,1,483,6,6,1,0
446,SW60C80_00446,1,485,2,2,1,0
447,SW60C80_00447,1,486,4,4,0,1
448,SW60C80_00448,1,487,6,6,1,0
449,SW60C80_00449,1,488,11,11,1,0
450,SW60C80_00450,1,489,9,9,1,0
451,SW60C80_00451,1,490,11,11,1,0
452,SW60C80_00452,1,491,7,7,1,0
453,SW60C80_00453,1,492,2,2,0,1
454,SW60C80_00454,1,493,5,5,1,0
455,SW60C80_00455,1,494,10,10,1,0
456,SW60C80_00456,1,495,15,15,1,0
457,SW60C80_00457,1,496,11,11,0,1
458,SW60C80_00458,1,497,28,28,0,1
459,SW60C80_00459,1,499,5,5,0,1
460,SW60C80_00460,4,500,4,5,0,4
461,SW60C80_00461,1,501,11,11,1,0
462,SW60C80_00462,1,502,7,7,1,0
463,SW60C80_00463,1,503,6,6,1,0
464,SW60C80_00464,1,504,5,5,1,0
465,SW60C80_00465,1,505,7,7,1,0
466,SW60C80_00466,1,506,4,4,0,1
467,SW60C80_00467,2,507,8,10,0,2
468,SW60C80_00468,1,508,14,14,1,0
469,SW60C80_00469,1,509,7,7,1,0
470,SW60C80_00470,1,511,19,19,1,0
471,SW60C80_00471,1,512,10,10,1,0
472,SW60C80_00472,1,514,6,6,1,0
473,SW60C80_00473,1,515,9,9,1,0
474,SW60C80_00474,2,517,5,5,0,2
475,SW60C80_00475,1,519,24,24,0,1
476,SW60C80_00476,1,520,10,10,1,0
477,SW60C80_00477,1,521,4,4,0,1
478,SW60C80_00478,7,522,6,7,0,7
479,SW60C80_00479,1,523,13,13,1,0
480,SW60C80_00480,1,524,9,9,0,1
481,SW60C80_00481,1,525,16,16,1,0
482,SW60C80_00482,1,526,9,9,0,1
483,SW60C80_00483,1,529,2,2,0,1
484,SW60C80_00484,1,530,20,20,1,0
485,SW60C80_00485,2,531,3,3,2,0
486,SW60C80_00486,1,532,10,10,1,0
487,SW60C80_00487,1,533,5,5,1,0
488,SW60C80_00488,1,534,11,11,1,0
489,SW60C80_00489,1,535,2,2,0,1
490,SW60C80_00490,1,536,11,11,0,1
491,SW60C80_00491,1,537,7,7,0,1
492,SW60C80_00492,1,538,5,5,1,0
493,SW60C80_00493,1,539,6,6,0,1
494,SW60C80_00494,1,540,7,7,0,1
495,SW60C80_00495,1,541,20,20,1,0
496,SW60C80_00496,1,542,4,4,0,1
497,SW60C80_00497,3,543,3,3,0,3
498,SW60C80_00498,1,544,10,10,0,1
499,SW60C80_00499,1,545,7,7,0,1
500,SW60C80_00500,1,546,11,11,1,0
501,SW60C80_00501,1,547,6,6,0,1
502,SW60C80_00502,1,548,6,6,0,1
503,SW60C80_00503,1,549,7,7,1,0
504,SW60C80_00504,1,550,4,4,0,1
505,SW60C80_00505,1,551,14,14,0,1
506,SW60C80_00506,1,552,11,11,1,0
507,SW60C80_00507,1,553,9,9,0,1
508,SW60C80_00508,1,556,5,5,1,0
509,SW60C80_00509,2,557,3,3,0,2
510,SW60C80_00510,1,558,10,10,0,1
511,SW60C80_00511,1,559,14,14,0,1
512,SW60C80_00512,1,560,12,12,1,0
513,SW60C80_00513,1,561,5,5,1,0
514,SW60C80_00514,1,562,8,8,1,0
515,SW60C80_00515,1,563,5,5,0,1
516,SW60C80_00516,1,564,18,18,1,0
517,SW60C80_00517,1,566,11,11,1,0
518,SW60C80_00518,1,568,3,3,1,0
519,SW60C80_00519,1,569,3,3,0,1
520,SW60C80_00520,1,570,6,6,0,1
521,SW60C80_00521,1,571,7,7,0,1
522,SW60C80_00522,1,572,21,21,0,1
523,SW60C80_00523,1,573,15,15,0,1
524,SW60C80_00524,1,574,6,6,0,1
525,SW60C80_00525,3,576,3,3,0,3
526,SW60C80_00526,1,577,9,9,1,0
527,SW60C80_00527,1,578,4,4,0,1
528,SW60C80_00528,1,579,9,9,0,1
529,SW60C80_00529,1,580,12,12,1,0
530,SW60C80_00530,1,581,13,13,0,1
531,SW60C80_00531,1,582,15,15,0,1
532,SW60C80_00532,1,583,8,8,0,1
533,SW60C80_00533,1,584,11,11,1,0
534,SW60C80_00534,1,585,8,8,1,0
535,SW60C80_00535,1,586,13,13,1,0
536,SW60C80_00536,1,587,14,14,1,0
537,SW60C80_00537,1,588,4,4,1,0
538,SW60C80_00538,1,589,20,20,0,1
539,SW60C80_00539,1,590,10,10,1,0
540,SW60C80_00540,1,591,6,6,1,0
541,SW60C80_00541,1,592,12,12,1,0
542,SW60C80_00542,1,593,8,8,1,0
543,SW60C80_00543,1,594,5,5,0,1
544,SW60C80_00544,1,595,14,14,0,1
545,SW60C80_00545,1,598,2,2,1,0
546,SW60C80_00546,2,599,7,8,0,2
547,SW60C80_00547,1,600,19,19,1,0
548,SW60C80_00548,1,601,3,3,1,0
549,SW60C80_00549,1,602,13,13,1,0
550,SW60C80_00550,1,604,12,12,0,1
551,SW60C80_00551,1,606,10,10,1,0
552,SW60C80_00552,1,607,10,10,0,1
553,SW60C80_00553,1,608,10,10,0,1
554,SW60C80_00554,1,609,12,12,0,1
555,SW60C80_00555,1,610,4,4,0,1
556,SW60C80_00556,1,611,14,14,0,1
557,SW60C80_00557,1,612,4,4,0,1
558,SW60C80_00558,1,613,13,13,0,1
559,SW60C80_00559,1,614,14,14,0,1
560,SW60C80_00560,1,615,12,12,1,0
561,SW60C80_00561,1,616,26,26,0,1
562,SW60C80_00562,1,617,13,13,0,1
563,SW60C80_00563,1,618,11,11,1,0
564,SW60C80_00564,1,619,4,4,0,1
565,SW60C80_00565,1,621,2,2,0,1
566,SW60C80_00566,1,622,3,3,0,1
567,SW60C80_00567,1,623,3,3,0,1
568,SW60C80_00568,1,624,14,14,1,0
569,SW60C80_00569,5,625,5,6,0,5
570,SW60C80_00570,1,626,13,13,0,1
571,SW60C80_00571,1,627,18,18,1,0
572,SW60C80_00572,1,628,12,12,0,1
573,SW60C80_00573,1,629,13,13,0,1
574,SW60C80_00574,1,632,16,16,1,0
575,SW60C80_00575,1,633,10,10,0,1
576,SW60C80_00576,2,634,3,3,2,0
577,SW60C80_00577,2,635,3,3,1,1
578,SW60C80_00578,1,636,17,17,1,0
579,SW60C80_00579,1,637,6,6,1,0
580,SW60C80_00580,1,638,11,11,0,1
581,SW60C80_00581,1,639,3,3,0,1
582,SW60C80_00582,3,640,5,5,2,1
583,SW60C80_00583,1,641,5,5,0,1
584,SW60C80_00584,1,642,17,17,1,0
585,SW60C80_00585,1,643,3,3,1,0
586,SW60C80_00586,1,644,8,8,1,0
587,SW60C80_00587,1,645,5,5,1,0
588,SW60C80_00588,1,646,6,6,1,0
589,SW60C80_00589,1,647,10,10,1,0
590,SW60C80_00590,1,648,14,14,1,0
591,SW60C80_00591,1,649,3,3,0,1
592,SW60C80_00592,1,650,3,3,0,1
593,SW60C80_00593,1,651,6,6,0,1
594,SW60C80_00594,1,653,11,11,1,0
595,SW60C80_00595,6,654,3,3,0,6
596,SW60C80_00596,1,655,4,4,1,0
597,SW60C80_00597,1,657,6,6,1,0
598,SW60C80_00598,1,659,2,2,0,1
599,SW60C80_00599,1,660,14,14,1,0
600,SW60C80_00600,1,661,40,40,0,1
601,SW60C80_00601,1,662,3,3,0,1
602,SW60C80_00602,1,663,9,9,0,1
603,SW60C80_00603,1,664,4,4,0,1
604,SW60C80_00604,1,665,14,14,0,1
